permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
DEM190108,VACANT RESIDENTIAL,4234  3RD ST,MCKEESPORT,15132,0,0,0,DEMOLITION AND SITE CLEARANCE SEEK AND STRAW,1200,f,2019-04-18,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.321012,-79.8381872
DEM190112,VACANT RESIDENCE,232 E 14TH AVE,HOMESTEAD,15120,0,0,915,RAZE TWO STORY FRAME DWELLING HAUL AWAY ALL TRASH AND DEBRIS VOID WILL BE CLEANED OUT AND BACK FILLED WITH CLEAN MATERIAL LEVEL THE LOT WITH CONTOUR OF STREET SEED AND STRAW LOT,1500,f,2019-04-28,2019-12-31,2,f,f,2019-12-31,DEMOLITION,40.4037671,-79.9051888
DEM190146,VACANT RESIDENCE,2427 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,840,f,2019-05-13,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4179969,-79.8797879
DEM190147,VACANT RESIDENCE,2111  HUDSON ST,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,1069,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.427734,-79.879834
DEM190148,VACANT RESIDENCE,2337 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,2220,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4187064,-79.8809338
DEM190149,VACANT RESIDENCE,2611 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,1232,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4148414,-79.8765179
DEM190150,VACANT RESIDENCE,7430  DUQUESNE AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,2046,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4186307,-79.8867525
DEM190151,VACANT RESIDENCE,2432 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,2400,f,2019-05-23,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.4173248,-79.8798499
DEM190154,VACANT RESIDENCE,2329 S BRADDOCK AVE,SWISSVALE,15218,0,0,921,REMOVE 1ST FLOOR KITCHEN VINYL FLOORING & EXTERIOR WINDOW AND DOOR CAULKING,150,f,2019-06-06,2020-06-05,3,f,f,2020-06-05,DEMOLITION,40.4188414,-79.8811635
DEM190155,VACANT RESIDENCE,2200  LEHIGH ST,SWISSVALE,15218,0,0,921,REMOVE WINDOW AND DOOR CAULKING,100,f,2019-06-06,2020-06-05,3,f,f,2020-06-05,DEMOLITION,40.4278933,-79.8787591
DEM190234,VACANT STORAGE FACILITY - 84 SYCAMORE STREET,,ETNA,15223,0,0,0,COMPLETE DEMOLITION OF BUILDING,15000,f,2019-09-02,2019-12-31,2,f,t,2019-11-05,DEMOLITION,40.5029699,-79.9500477
DEM190235,VACANT COMMERCIAL BUILDING,512  OHIO RIVER BLVD,AVALON,15202,0,0,937,REMOVE LIGHT GREY TRANSITE PIPE FLUE COLLAR AND GRY CAULKING ON WINDOWS,65,f,2019-08-09,2020-08-01,8,f,f,2020-08-01,DEMOLITION,40.4993501,-80.0725547
DEM190243,NIOSH BUILDING #35 - 626 COCHRAN MILLS ROAD,,PITTSBURGH,15236,0,0,925,REMOVE FROM ROOM 100 WINDOW GLAZING AND TRANSITE PANESL INSIDE FUME HOOD,58,f,2019-09-26,2020-01-16,2,f,f,2020-01-16,DEMOLITION,40.3380768,-79.9789606
DEM190244,VACANT RESIDENCE,214  BLOOMER WAY,PITTSBURGH,15219,0,0,0,NO ACM IDENTIFIED,2000,f,2019-08-14,2020-08-13,2,f,f,2020-08-13,DEMOLITION,40.4477757,-79.9776706
DEM190245,NISOSH BUILDING #104 - 626 COCHRAN MILLS ROAD,,PITTSBURGH,15236,0,0,925,REMOVEAL OF DETERIORATED STRUCTURE,60,f,2019-11-18,2019-12-05,2,f,f,2019-12-05,DEMOLITION,40.3380768,-79.9789606
DEM190246,NIOSH BUILDING 115 - 626 COCHRANS HILLS ROAD,,PITTSBURGH,15236,0,0,925,REMOVE GASKET MATERIAL FROM ROOM 100 & WINDOW GLAZING THROUGHOUT BUILDING,9,f,2019-09-24,2020-01-13,2,f,f,2020-01-13,DEMOLITION,40.3380768,-79.9789606
DEM190248,NIOSH BUILDING 149 - 626 COCHRANS MILL ROAD,,PITTSBURGH,15236,0,0,925,REMOV WINDOW GLAZING THROUGHOUT BUILDING,96,f,2019-09-20,2019-12-16,2,f,f,2019-12-16,DEMOLITION,40.3380768,-79.9789606
DEM190259,VACANT RESIDENCE,5323  ROSETTA ST,PITTSBURGH,15224,0,0,951,STRUCTUR TO BE RAZED BY MEANS OF HAND WORK AND EXCAVATOR,0,f,2019-09-25,2019-11-18,3,f,f,2019-11-18,DEMOLITION,40.4674742,-79.936909
DEM190270,VACANT RESIDENCE,87  TRANSVAAL AVE,ROSS,15212,0,0,956,REMOVE DUCT PAPER FROM BARROOM,100,f,2019-10-07,2019-12-07,2,f,f,2019-12-07,DEMOLITION,40.493553,-80.0334934
DEM190271,BETTIS ATOMIC POWER LABORATORY,814 PITTSBURGH MCKEESPORT BLVD,WEST MIFFLIN,15122,0,0,0,PARTIAL DEMOLITION OF A 20'X20' PORTION OF EXISTING BUILDING,20,f,2019-09-23,2020-09-23,2,f,f,2020-09-23,DEMOLITION,40.3560891,-79.8997901
DEM190272,FORMER TAO'S AUTO SERVICE,9235  PERRY HWY,PITTSBURGH,15237,0,0,902,REMOVE INTERIOR WINDOW GLAZING IN GARAGE BAY & FLOOR TILE & MASTIC IN REAR OFFICE,102,f,2019-10-09,2019-12-31,2,f,f,2019-12-31,DEMOLITION,40.5744244,-80.0375337
DEM190274,VACANT COMMERCIAL,6540  LIBRARY RD,SOUTH PARK,15129,0,0,920,NO ACM IDENTIFIED - DEMOLISH STRUCTURE AND GRADE LOT,1200,f,2019-10-18,2019-11-18,2,f,f,2019-11-18,DEMOLITION,40.2867262,-80.0238231
DEM190275,VACANT RETAIL STRUCTURE,6544  LIBRARY RD,SOUTH PARK,15129,0,0,920,NO ACM IDENTIFIED - DEMOLISH BUILDING AND GRADE LOT,1200,f,2019-10-18,2019-11-18,2,f,f,2019-11-18,DEMOLITION,40.2866792,-80.023723
DEM190276,VACANT RESIDENTIAL,711 S NEGLEY AVE,PITTSBURGH,15232,0,0,912,REMOVE FLOOR TILE IN REAR ENTRYWAY ON FIRST FLOOR,36,f,2019-10-21,2019-12-30,2,f,f,2019-12-30,DEMOLITION,40.453136,-79.931325
DEM190277,VACANT RETAIL,6560  LIBRARY RD,SOUTH PARK,15129,0,0,920,REMOVE EXTERIOR MULTI-PANE WINDOW CAULKING & GLAZING AND EXTERIOR ROOF FLASHING FROM SIDE WALL OVERHANG,30,f,2019-10-18,2019-11-26,2,f,f,2019-11-26,DEMOLITION,40.2865383,-80.0234874
DEM190279,VACANT RESIDENCE,6094  BUTLER ST,PITTSBURGH,15201,0,0,961,BUILDING SHALL BE DEMOLISHED HORIZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWEREED TO GROUND THEN LOADED INTO TARPED TRUCKS.  ABATEMENT SUPERVISOR ON SITE DURING DEMOLITION.  WATER TO BE USED FOR DUST SUPPRESSION,0,f,2019-10-22,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4875834,-79.9390976
DEM190281,VACANT RESIDENCE - 121 ENTERPRISE STREET,,PITTSBURGH,15221,0,0,961,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,0,f,2019-10-22,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4368825,-79.8576828
DEM190284,VACANT RESIDENCE,3721  BUTLER ST,PITTSBURGH,15201,0,0,961,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,0,f,2019-10-21,2019-11-20,2,f,f,2019-11-20,DEMOLITION,40.466926,-79.964558
DEM190321,VACANT RESIDENCE,132  BURROWS ST,PITTSBURGH,15213,0,0,935,REMOVE ROOF TAR FROM REAR WALL PARAPET,45,f,2019-11-01,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4391502,-79.9667216
DEM190322,VACANT RESIDENCE,114  BURROWS ST,PITTSBURGH,15213,0,0,935,REMOVE MAIN ROOF BLACK-GREEN FLASHING AND OFF WHITE INSULATION PAPER FROM BASEMENT DUCT,73,f,2019-11-01,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4396237,-79.9668418
DEM190324,VACANT RESIDENCE,2330  PENN AVE,PITTSBURGH,15222,0,0,956,TOTAL DEMOLITION,500,f,2019-11-20,2019-12-31,2,f,f,2019-12-31,DEMOLITION,40.453133,-79.980585
DEM190325,VACANT RESIDENCE,827  LONG ST,MILLVALE,15209,0,0,0,REMOVE WINDOW CAULKING,10,f,2019-11-11,2019-11-25,2,f,f,2019-11-25,DEMOLITION,40.489305,-79.973629
DEM192080,VACANT RESIDENCE,100  BROSVILLE ST,PITTSBURGH,15203,0,0,961,BUILDING SHALL BE DEMOLISHED HORZONTALLY BY REMOVING SMALL SECTIONS OF STRUCTURE WITH GRAPPLE AND LOWERED TO GROUND THEN LOADED INTO TARPED TRUCKS AND SECURED.  WATER SHALL BE USED TO PREVENT FUGITIVE EMISSIONS,0,f,2019-10-22,2019-11-30,2,f,f,2019-11-30,DEMOLITION,40.4247621,-79.9855402
DME190145,VACANT RESIDENCE,2435 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,1560,f,2019-05-13,2019-12-31,3,f,f,2019-12-31,DEMOLITION,40.417821,-79.879423
PAA180272,WOODLAND HILLS DICKSON FIELD HOUSE/FALLOUT SHELTER,7301 SCHOYER AVE,SWISSVALE,15218,850,013125,321,REMOVE PLASTER & WINDOW GLAZING FROM FIELD HOUSE/FALLOUT SHELTER AND OUTSIDE DOOR CAULKING.,2300,f,2018-04-24,2108-08-24,2,t,f,2108-08-24,DEMOLITION,40.4234595,-79.8935994
PAA180650,KOPPERS PLANT CLAIRTON PA - AREA 13,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE EXTERIOR TANK IN MAP AREA 13 TANKS 32, 31 & 33",15700,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180651,KOPPERS PLANT CLAIRTON PA - AREA 19,300 N STATE ST,CLAIRTON,15025,850,20688,412,REMOVE EXTERIOR ROOFING IN MAPE ARE 19 TRANSFER PUMP HOUSE & PIPE INSULATION IN MAP AREA 19 ON TOP OF BUILDING,1625,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180652,KOPPERS PLANT CLAIRTON PA - AREA 12,300 N STATE ST,CLAIRTON,15025,850,20688,412,REMOVE EXTERIOR ROOFING MATERIAL FROM MAP AREA 12 PIPE SHOP,3250,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180653,KOPPERS PLANT CLAIRTON PA - AREA 9,300 N STATE ST,CLAIRTON,15025,450,20688,412,REMOVE EXTERIOR ROOFING MATERIAL FROM MAP ARE 9 SEWAGE STATION,250,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180654,KOPPERS PLANT CLAIRTON PA AREA 4,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE EXTERIOR GALBESTOS, TRANSITE & PIPE IN MAP AREA 4",4635,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180655,KOPPERS PLANT CLAIRTON PA AREA 29,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE PIPE FROM MAP AREA 29 GENERAL OFFICE BUILDING, EXTERIOR TRANSITE PIPE, FIRE PROOFING, GALBESTOS, EXTERIOR ROOFING MATERIAL & EXTERIOR WINDOW CAULKING FROM MAPE AREA 29",3772,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180656,KOPPERS PLANT CLAIRTON PA EXTERNAL PIPE RACKS,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE EXTERIOR PIPE RACKS IN MAP AREAS 2, 7, 19,15, 30",6600,f,2018-11-20,2019-11-20,2,t,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180657,KOPPERS PLANT CLAIRTON PA - AREA 30,300 N STATE ST,CLAIRTON,15025,850,20688,412,REMOVE EXTERIOR GALBESTOS ROOFING AND ROOFING FROM MAP AREA 30 CONTAIINMENT BUILDING,23450,f,2018-11-20,2019-11-20,2,f,f,2019-11-20,DEMOLITION,40.3080967,-79.884895
PAA180664,FIREHOUSE #24,1729 MARY ST,PITTSBURGH,15203,200,20366,360,REMOVE FLOOR TILE AND MASTIC FROM STORAGE ROOM/OFFICE,174,t,2018-11-22,2019-11-22,2,t,f,2019-11-22,RENOVATION,40.4263687,-79.9812513
PAA180669,UOP OLD ENGINEERING HALL,3941  OHARA ST,PITTSBURGH,15213,450,4425,316,"REMOVE VAT/ASTIC, TRANSITE & PIPE INSULATION FROM ROOM 513",651,t,2018-11-27,2019-11-27,2,t,f,2019-11-27,RENOVATION,40.4450083,-79.9579922
PAA180670,ASCENSION LUTHERAN CHURCH,1290  SILVER LN,MCKEES ROCKS,15136,850,18753,310,REMOVE FLOOR TILE AND MASTIC FROM COMMUNITY ROOM,1032,t,2018-12-03,3018-12-31,2,t,f,3018-12-31,RENOVATION,40.47511,-80.1316319
PAA180678,VACANT RESIDENCE,923  GRAND AVE,PITTSBURGH,15212,200,7733,340,REMOVE 3 LAYER FLOOR TILE/SHEET FLOORING FROM KITCHEM AND ALL WINDOW CAULKING,260,f,2018-12-06,2019-12-05,2,t,f,2019-12-05,DEMOLITION,40.475205,-80.024377
PAA180679,VACANT RESIDENCE,2950  WEBSTER AVE,PITTSBURGH,15219,450,7750,340,SEE ATTACHED FOR THE LIST OF MATERIALS TO BE REMOVED,322,f,2018-12-06,2019-12-05,2,t,f,2019-12-05,DEMOLITION,40.4524307,-79.9655088
PAA180680,VACANT RESIDENCE,7319  SUSQUEHANNA ST,PITTSBURGH,15208,850,7736,340,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,1920,f,2018-12-06,2019-12-05,2,t,f,2019-12-05,DEMOLITION,40.4528063,-79.8956052
PAA180685,WEST PENN HOSPITAL - MELLON PAVILLION,4801  FRIENDSHIP AVE,PITTSBURGH,15224,850,4428,316,REMOVE VAT/MASTIC FROM SUITE M54,5000,t,2018-12-03,2019-12-03,2,t,f,2019-12-03,RENOVATION,40.4630069,-79.9465836
PAA180686,APARTMENT #2,147 N CRAIG ST,PITTSBURGH,15213,450,4384,326,REMOVE FLOOR TILE & ENCAPSULATE MASTIC,1250,t,2018-12-12,2019-12-11,2,t,f,2019-12-11,RENOVATION,40.4487079,-79.9505285
PAA180692,FORMER BALLY'S FITNESS CENTER,119  6TH ST,PITTSBURGH,15222,850,20477,931,REMOVE PIPE INSULATION THROUGHOUT BUILDING & MIRROR GLUE DOTS FROM BASEMENT,3019,f,2019-01-07,2019-12-17,2,t,f,2019-12-17,RENOVATION,40.4435689,-80.001844
PAA180697,VACANT APARTMENT BUILDING,708  CHARTIERS AVE,MCKEES ROCKS,15136,850,1422,466,REMOVE ROOFING MATERIAL AND ALL EXTERIOR WINDOW CAULKING,10500,f,2018-12-06,2019-11-29,2,t,f,2019-11-29,DEMOLITION,40.4657904,-80.0617434
PAA180702,VACANT COMMERCIAL STRUCTURE,810  MONONGAHELA AVE,GLASSPORT,15045,850,77408,921,REMOVE MASTIC THROUGHOUT BUILDING & VAT/MASTIC FROM DEBRIS PILE OUTSIDE OF BUILDING,16000,f,2019-01-07,2019-12-19,8,t,f,2019-12-19,RENOVATION,40.3222667,-79.8927028
PAA180703,ARROTT BUILDING,411  WOOD ST,PITTSBURGH,15222,850,20907,412,"REMOVE WAL MASTIC FROM 9TH FL, PIPE INSULATION IN VERTICLE CHASE THROUGHOUT BLDG, FLOOR TILS/SHEET FLOORTING THORUGHUHOUT BLDG ALL FLOORS, FLOOR MASTIC THROUGHOUT BLDG, TANK INSULATION AND TRANSITE IN SUB-BASEMENT, & SINK MASTIC ON 2ND FL",74078,f,2018-12-20,2109-12-01,2,f,f,2019-12-01,RENOVATION,40.4398222,-80.0012066
PAA180705,DITHRIDGE TOWERS,144 N DITHRIDGE ST,PITTSBURGH,15213,850,18823,902,REMOVE ROOFING,774,t,2018-12-21,2019-12-09,2,t,f,2019-03-10,RENOVATION,40.4482339,-79.950786
PAA180715,CHARTIERS VALLEY MIDDLE SCHOOL,50 THOMS RUN RD,BRIDGEVILLE,15017,850,2015,360,"REMOVE FLOOR TILE & MASTIC & TRANSITE PANELS THROUGHOUT MIDDLE SCHOOL, ROOF FLASHING TAR, ROOF FELT AND INTERIOR WINDOW GLAZE",19900,t,2018-12-26,2019-12-25,8,t,f,2019-12-25,DEMOLITION,40.3792417,-80.1030421
PAA180716,COMMERCIAL BUILDING,18 WESTERN AVE,PITTSBURGH,15202,200,USPSMO21974562797,335,"REMOVE 12X12 VAT & MASTIC FROM 1ST FLOOR HALLWAY & 9"" VAT FROM 3RD FLOOR SIDE ROOM",225,f,2018-12-24,2019-12-24,2,t,f,2019-12-24,DEMOLITION,40.5061385,-80.0877355
PAA180721,ANTONIAN HALL - CARLOW UNIVERSITY,3333  5TH AVE,PITTSBURGH,15213,850,4439,316,"REMOVE VAT/MASTIC FROM ROOMS 410, 511, 513",2190,f,2018-12-27,2019-12-27,2,t,f,2019-12-27,RENOVATION,40.4389338,-79.9631161
PAA180725,UPMC MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,850,4385,326,"REMOVE FLOOR TILE & MASTIC FROM 2ND FL EGRESS CORRIDOR, CONFERENCE RM, ON-CALL & CLINICIANS OFFICE, DEPARTMENT CORRIDOR, OFFICES 2030 & 2031.",1667,t,2018-12-26,2019-12-25,2,f,f,2019-12-25,RENOVATION,40.4362085,-79.9856207
PAA180730,USS CLAIRTON WORKS EMERG NOTIF/#2 CONTROL RM,400 STATE ST,CLAIRTON,15025,850,29239,946,"REMOVE PIPE COVERING, GASKETS, SHEETING, WIRING, TSI & MISCELLANEOUS MATERIAL DUE TO FIRE DAMAGE IN CONTROL ROOM #2",25000,t,2018-12-27,2019-12-26,8,f,f,2019-12-26,RENOVATION,40.2940921,-79.8728393
PAA190011,UMC ST MARGARET'S HOSPITAL,815 FREEPORT RD,PITTSBURGH,15215,85,04386,326,REMOVE BLACK MASTIC FRM ROOM 1425/1ST FL/CENTRAL STORAGE,1450,t,2019-01-10,2019-12-30,2,t,f,2019-12-30,RENOVATION,40.4891376,-79.8961109
PAA190022,US STEEL IRVIN WORKS/GALVANIZING  DEPT - PO BOX 878,,DRAVOSBURG,15034,200,29102,946,REMOVE TSI PIPING FROM GALVANIZING DEPARTMENT,295,t,2019-01-07,2019-12-31,2,f,t,2019-01-18,RENOVATION,40.351279,-79.8884819
PAA190036,US COURTHOUSE,700 GRANT ST,PITTSBURGH,15219,850,1354,901,REMOVE 1 X 1 CEILING TILE FROM COURTROOMS 9A & 9B,3000,t,2019-01-15,2019-12-31,2,t,f,2019-12-31,RENOVATION,40.4427412,-79.9936597
PAA190043,WESTINGHOUSE CHURCHILL CORP CAMPUS - 1333 BEULAH ROAD,,PITTSBURGH,15235,850,6581,938,"REMOVE ALL MASTIC, CARPET, FLOORING, LAB TOPS HOODS, DUCT COATING, FLEX DUCT, TSI FITTINGS ON 2ND FLOOR, WET WIPE ENTIRE 2ND FLOOR AREA AND DUCT COATING ON 1ST, 2ND & 3RD FOOR PIPE CHASE",76310,f,2019-01-21,2020-01-21,2,t,f,2020-01-21,RENOVATION,40.4586216,-79.8184684
PAA190049,FORMER BABIES R US ROOF,3700  WILLIAM PENN HWY,MONROEVILLE,15146,850,21125,941,REMOVE GALBESTOS SHEETING FROM PARAPET & MECHANICAL EQUIPMENT SCREEN WALL,6160,t,2019-01-21,2019-12-30,2,t,f,2019-12-30,RENOVATION,40.4347614,-79.7892027
PAA190052,US STEEL CLAIRTON #1 WHARF NORTH BUILDING,400 STATE ST,CLAIRTON,15025,850,033605,904,REMOVE TRANSITE FROM WALLS AND ROOF,1200,f,2019-01-21,2020-01-20,2,t,f,2020-01-20,RENOVATION,40.2940921,-79.8728393
PAA190053,UPMC MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,200,4389,928,REMOVE FLOOR TILE & MASTIC IN CENTRAL SUPPLY OFFICE AND CENTRAL SUPPLY,570,t,2019-01-10,2019-12-28,2,t,f,2019-12-28,RENOVATION,40.4362085,-79.9856207
PAA190055,US STEEL CLAIRTON 01 STORAGE SHED ROOF,400 STATE ST,CLAIRTON,15025,850,033606,904,REMOVE GALBESTOS FROM ROOF,900,f,2019-01-19,2020-01-19,2,t,f,2020-01-19,RENOVATION,40.2940921,-79.8728393
PAA190061,UPMC MCKEESPORT 5TH FLOOR - CCU,1500 5TH AVE,MCKEESPORT,15132,850,1355,901,REMOVE 12 X 12 FLOOR TILE AND BLACK MASTIC IN THE 5TH FLOOR CCU,4820,f,2019-01-22,2019-12-30,2,t,f,2019-12-30,RENOVATION,40.3510349,-79.8490186
PAA190063,PITTSBURGH STUDENT ACHIEVEMENT CENTER,925 BRUSHTON AVE,PITTSBURGH,15208,1850,6736 & 6591,938,"REMOVE BULETIN/CHALK BOARDS & MASTIC FROM ROOMS 100, 105, 211, 320B, & 333, WALL & CEILING PLASTER FROM ROOMS 100, 115, 118, 119, 119A, 200, 200B, 211, 214B, & 220; AND CONTAMINATED CEILING TILE & TRACK FROM ROOM 118",13391,t,2019-05-21,2020-05-21,2,f,f,2020-05-21,RENOVATION,40.4563926,-79.8885784
PAA190065,ON PNC PLAZA A LEVEL UPS ROOM,225  5TH AVE,PITTSBURGH,15222,850,5273,940,REMOVE FLOOR TILE AND MASTIC,1000,t,2019-01-17,2019-12-28,2,f,f,2019-12-28,RENOVATION,40.4413691,-80.0013643
PAA190068,UNIVERSITY OF PITTSBURGH - OLD FORD BUILDING,5000  BAUM BLVD,PITTSBURGH,15213,850,1376,901,VARIOUS MATERIALS IN VARIOUS LOCATIONS THROUGHOUT BUILDING - SEE ATTACHED LIST,62225,f,2019-01-31,2020-01-31,8,f,f,2020-01-31,RENOVATION,40.4550425,-79.944171
PAA190087,MONTEFIORE HOSPITAL - SUITE 1111,3459 5TH AVE,PITTSBURGH,15213,450,5361,940,REMOVE FLOOR TILE AND MASTIC,750,t,2019-02-15,2019-12-30,2,f,f,2019-12-30,RENOVATION,40.4405925,-79.9617686
PAA190089,MANOR BUILDING,564  FORBES AVE,PITTSBURGH,15219,1850,013659,912,REMOVE VAT & MASTIC FROM 5TH & 6TH FLOORS,18000,t,2019-02-15,2019-12-30,2,t,f,2019-12-30,RENOVATION,40.4377045,-79.9951014
